gps_x,gps_y,ekf_x,ekf_y,gt_x,gt_y,GPS ?s,EKF ?s,GT ?s
0.545534,7.131877,0.253833,7.290994,-0.449369,6.942969,0.668093152,0.056444859,0.006849748
0.638964,7.793405,0.30548,7.268221,-0.442587,6.94393,1.907944473,0.113848465,0.006163707
-0.979105,6.782413,0.365671,7.364857,-0.436474,6.944719,1.896783096,0.257281237,0.006714692
0.89133,7.097467,0.128203,7.265849,-0.429796,6.94542,0.319195784,0.135762545,0.007174677
1.175272,7.243285,0.261094,7.238074,-0.422641,6.945951,1.752884118,0.162729696,0.007318044
-0.082245,6.022116,0.423807,7.240405,-0.41533,6.946272,1.696730509,0.231919333,0.007007243
0.670439,7.542761,0.336662,7.025481,-0.408324,6.946404,0.194646156,0.107211889,0.006256005
0.613556,7.356612,0.396915,7.11416,-0.402068,6.946396,0.172917158,0.058420404,0.005225288
0.525205,7.505254,0.437459,7.156221,-0.396844,6.94628,0.535773846,0.064453509,0.004149005
0.43701,6.976789,0.455671,7.218048,-0.392702,6.946039,1.254812122,0.041683022,0.003246414
0.279104,8.221626,0.455024,7.17637,-0.389483,6.945618,0.507294798,0.188318128,0.002629108
0.526442,7.778713,0.426576,7.362527,-0.386935,6.94497,0.898901645,0.080208316,0.002255064
-0.077174,8.4448,0.445915,7.440369,-0.38486,6.944087,0.788728506,0.205017947,0.001951205
-0.090846,7.65619,0.354624,7.62394,-0.383229,6.943016,0.621601526,0.080635702,0.001565532
0.401061,7.276169,0.275151,7.637584,-0.38222,6.941819,1.033268489,0.060685844,0.001279971
-0.217496,8.103835,0.295816,7.580525,-0.382149,6.940541,1.16822803,0.135059259,0.001801575
0.788416,7.509783,0.203335,7.678954,-0.383334,6.939184,0.926119103,0.104006049,0.003005838
0.299706,6.723107,0.304653,7.655461,-0.385962,6.937725,0.18693895,0.160559982,0.004327453
0.467762,6.804981,0.303267,7.494907,-0.389995,6.936156,1.247358253,0.124549453,0.005444368
0.401293,8.050567,0.332071,7.373734,-0.395183,6.934505,1.585547917,0.120198972,0.006197676
-0.505565,6.749963,0.344535,7.493285,-0.401152,6.932837,2.073885638,0.199722278,0.006595541
-0.042774,8.771553,0.193593,7.362497,-0.407546,6.931219,1.633507281,0.253560022,0.006782065
-0.328242,7.163183,0.148905,7.612088,-0.414153,6.929688,0.333280649,0.116428688,0.006956104
-0.08178,6.938834,0.060789,7.535988,-0.420958,6.928246,0.694911904,0.108614187,0.007274218
-0.300789,7.598332,0.030873,7.431575,-0.428103,6.926881,0.985612511,0.070057612,0.007772784
-0.135688,6.626646,-0.032761,7.46088,-0.43577,6.925603,0.746930209,0.150127498,0.002181739
0.264542,7.257297,-0.056392,7.312624,-0.437707,6.924599,0.534972719,0.054060124,0.008576778
0.799363,7.244557,-0.003676,7.300644,-0.429146,6.924079,0.505207002,0.139539664,0.016817465
0.328755,7.060812,0.135252,7.287593,-0.412329,6.923954,0.454249606,0.054786373,0.022896684
0.709559,6.813161,0.169301,7.244672,-0.389433,6.924131,1.952634944,0.12526007,0.02777901
-0.321098,8.471633,0.265769,7.164772,-0.361658,6.924603,1.507273966,0.250145966,0.032778971
0.835847,7.505531,0.163491,7.393053,-0.32889,6.925451,0.256232297,0.121461751,0.039150722
0.712237,7.281086,0.283175,7.413758,-0.289761,6.926755,0.172095074,0.081814762,0.047613429
0.562911,7.195538,0.361777,7.391056,-0.24218,6.928512,0.746403277,0.052243696,0.057861741
-0.150312,7.415608,0.401116,7.356678,-0.184357,6.930629,1.977283226,0.094762388,0.068650577
0.936802,5.763993,0.306902,7.366858,-0.115747,6.932989,0.829932176,0.307128452,0.07844852
0.886957,6.592427,0.420605,7.081552,-0.03734,6.935541,0.574366383,0.126865516,0.086190974
0.752302,7.150786,0.507238,6.988872,0.048806,6.938325,0.273296016,0.052778966,0.091758347
0.786642,7.421916,0.554646,7.012069,0.140512,6.941424,0.50908213,0.081715929,0.095903147
0.419046,7.774106,0.602148,7.07856,0.236353,6.944876,0.469277325,0.123148036,0.099857912
0.466783,7.307263,0.575167,7.198716,0.336141,6.948612,0.741171258,0.024255898,0.104889603
1.202025,7.400826,0.559541,7.217268,0.440959,6.952487,0.618307087,0.122890197,0.111780672
