gps_x,gps_y,ekf_x,ekf_y,gt_x,gt_y,GPS ?s,EKF ?s,GT ?s,,,,,?x_gt,?y_gt,STDDEV GT
-0.169592,-25.483912,-0.138946,-25.945469,-0.766904,-25.339292,0.741405212,0.706106608,0.005442003,,,,,0.000845,0.005376,0.005442003
-0.396017,-26.189896,-0.125788,-25.927946,-0.766059,-25.333916,0.219789679,0.08561867,0.005637953,,,,,0.001733,0.005365,0.005637953
-0.310572,-25.987395,-0.18938,-25.985275,-0.764326,-25.328551,1.448851107,0.027207958,0.00183433,,,,,0.000741,-0.001678,0.00183433
-0.633061,-27.3999,-0.214903,-25.975849,-0.763585,-25.330229,0.500994715,0.356422062,0.009049048,,,,,-0.001463,-0.00893,0.009049048
-0.139655,-27.313031,-0.314286,-26.318135,-0.765048,-25.339159,0.805753682,0.243295936,0.01329875,,,,,-0.004875,-0.012373,0.01329875
-0.041176,-26.513318,-0.274465,-26.55815,-0.769923,-25.351532,0.549540646,0.054065736,0.006519375,,,,,-0.005267,-0.003842,0.006519375
-0.2836,-27.006497,-0.221131,-26.567015,-0.77519,-25.355374,1.566503343,0.110594453,0.005689584,,,,,-0.004179,0.003861,0.005689584
0.583968,-25.702174,-0.232031,-26.677071,-0.779369,-25.351513,1.262543259,0.255362522,0.00590017,,,,,-0.001439,0.005722,0.00590017
-0.669647,-25.552291,-0.059646,-26.488674,-0.780808,-25.345791,0.596097943,0.215851069,0.004831503,,,,,0.001032,0.00472,0.004831503
-0.098834,-25.38052,-0.176632,-26.307274,-0.779776,-25.341071,0.832685945,0.181829515,0.004246898,,,,,0.003595,-0.002261,0.004246898
-0.271468,-24.565926,-0.158518,-26.126349,-0.776181,-25.343332,2.411067882,0.303691115,0.00938581,,,,,0.004851,-0.008035,0.00938581
0.56944,-26.825599,-0.178009,-25.823284,-0.77133,-25.351367,0.752036557,0.231189445,0.009084903,,,,,0.004636,-0.007813,0.009084903
0.801025,-26.110108,-0.033042,-26.003376,-0.766694,-25.35918,0.830376682,0.162800037,0.003595648,,,,,0.003119,-0.001789,0.003595648
0.064787,-25.726078,0.128976,-26.019314,-0.763575,-25.360969,0.595257375,0.057955493,0.005614774,,,,,0.000972,0.00553,0.005614774
0.067542,-26.321329,0.125149,-25.961485,-0.762603,-25.355439,0.542885569,0.062328628,0.013468546,,,,,-0.00095,0.013435,0.013468546
-0.182352,-25.839377,0.121644,-26.023715,-0.763553,-25.342004,0.34468889,0.061150583,0.007453778,,,,,0.002686,0.006953,0.007453778
