gps_x,gps_y,ekf_x,ekf_y,gt_x,gt_y,GPS ?s,EKF ?s,GT ?s
-0.85796,-24.513489,-0.992879,-25.632399,-0.732331,-25.343944,0.753083298,0.200093948,0.004694202
-0.919654,-25.264041,-0.969251,-25.433705,-0.736551,-25.341888,0.283068466,0.034824408,0.004503162
-1.153211,-25.423975,-0.960306,-25.400049,-0.740666,-25.340059,0.531304799,0.034065392,0.003825829
-0.760637,-25.065966,-0.994367,-25.400596,-0.744478,-25.339734,0.706029816,0.075160237,0.005938911
-1.273924,-24.581183,-0.953129,-25.337759,-0.749166,-25.336088,1.255774032,0.149906925,0.000561378
-0.606071,-25.64464,-1.009744,-25.198954,-0.74937,-25.336611,0.725560869,0.101933378,0.000399906
-0.842117,-24.958549,-0.938585,-25.271939,-0.7491,-25.336906,1.095242077,0.062622133,0.008838751
-1.440692,-25.875753,-0.920537,-25.211974,-0.753831,-25.32944,0.544767089,0.1456241,0.004472436
-0.94579,-25.648062,-1.012064,-25.32524,-0.754716,-25.325056,0.264361232,0.056425463,0.006022512
-0.685499,-25.601851,-1.001105,-25.380591,-0.755455,-25.319079,0.931144508,0.06761343,0.010813673
-1.433543,-26.156342,-0.945592,-25.41919,-0.746828,-25.312559,1.094224139,0.157298839,0.018853231
-0.419946,-25.744095,-1.031923,-25.550681,-0.728493,-25.308169,0.930498476,0.113552005,0.027266547
-1.115718,-25.126253,-0.924345,-25.587027,-0.70155,-25.303981,0.920975201,0.085396949,0.034081273
-0.592206,-25.883967,-0.957312,-25.50825,-0.667675,-25.300237,0.582575144,0.093813944,0.040492554
-1.171509,-25.945626,-0.8924,-25.575981,-0.627635,-25.2942,0.238160889,0.083674878,0.045734204
-0.944089,-26.016342,-0.940406,-25.644515,-0.582305,-25.288133,0.592063198,0.069519251,0.051429817
-0.871052,-25.428801,-0.940823,-25.714033,-0.531104,-25.283287,0.355144888,0.048004023,0.058376339
-0.703981,-25.115408,-0.928216,-25.667714,-0.472792,-25.280547,0.227781552,0.103406286,0.066842844
-0.665925,-25.339988,-0.887878,-25.5725,-0.405957,-25.279523,0.353487017,0.057424967,0.076331889
-0.388118,-25.558566,-0.84719,-25.531977,-0.329627,-25.278986,1.161262899,0.083658992,0.085846179
-1.334677,-24.885842,-0.763665,-25.53671,-0.243787,-25.277956,1.213297714,0.151826874,0.09427226
-0.631169,-25.87436,-0.861927,-25.420969,-0.149526,-25.276499,0.211140131,0.089054285,0.100894979
-0.702316,-25.675568,-0.819867,-25.499465,-0.048635,-25.275603,0.361780966,0.038338503,0.105879448
-0.781026,-25.322453,-0.797256,-25.530426,0.057242,-25.276323,0.319687181,0.037046917,0.11022271
-0.507452,-25.487853,-0.792413,-25.493697,0.167435,-25.278882,0.910854879,0.052566782,0.11507127
0.387561,-25.318713,-0.739867,-25.492219,0.282449,-25.282512,0.323076386,0.20570898,0.121132133
0.70339,-25.250666,-0.536538,-25.461018,0.403527,-25.286133,0.530831949,0.230228594,0.128494059
0.341663,-25.639171,-0.309504,-25.422798,0.531982,-25.289301,0.772528924,0.131295656,0.13661213
0.9551,-25.169601,-0.183577,-25.459959,0.668553,-25.292653,0.375893841,0.22025869,0.1445346
0.633558,-25.364298,0.030445,-25.407916,0.813009,-25.297419,1.771448499,0.12191554,0.15136072
1.914379,-26.588033,0.152027,-25.398904,0.964208,-25.304414,1.361304146,0.390249866,0.156646861
0.965829,-25.61161,0.480611,-25.609445,1.120598,-25.313381,0.027944999,0.105995745,0.160622081
0.973016,-25.584605,0.586546,-25.613033,1.280922,-25.323162,0.409397113,0.088198624,0.164036199
0.900842,-25.18162,0.67472,-25.610949,1.444686,-25.332608,1.176848696,0.094534662,0.167694321
2.077526,-25.161932,0.733833,-25.537176,1.612147,-25.341451,0.536812522,0.265320388,0.172136275
1.554204,-25.281522,0.990869,-25.471393,1.784045,-25.350505,1.150838757,0.125804863,0.177568651
1.963421,-26.357148,1.11196,-25.437278,1.961298,-25.361088,0.396018344,0.237117501,0.183787525
1.746443,-26.025861,1.284279,-25.600161,2.144629,-25.374034,0.667638895,0.130121828,0.19013788
2.034679,-25.423647,1.38823,-25.678429,2.33417,-25.389088,0.784861467,0.142477382,0.19576412
2.739452,-25.078245,1.52451,-25.636865,2.529274,-25.405151,0.522419678,0.256657718,0.200079489
2.616673,-25.586032,1.762209,-25.540054,2.728714,-25.421135,0.756710674,0.175907778,0.203074928
2.546856,-24.832549,1.937902,-25.548744,2.931186,-25.436772,0.906998534,0.184380301,0.205266562
2.898012,-25.668812,2.071661,-25.42184,3.135831,-25.452734,0.90561983,0.175476495,0.20738924
3.517547,-25.008264,2.241973,-25.464099,3.342498,-25.470027,1.650992713,0.265760894,0.210167211
4.29228,-26.466196,2.494794,-25.382182,3.551787,-25.48922,0.703286902,0.389169965,0.214052995
4.03748,-25.810689,2.83408,-25.572808,3.764823,-25.510061,0.446807856,0.253785886,0.218938351
3.590997,-25.793654,3.083916,-25.617409,3.982684,-25.531754,0.242309663,0.126541802,0.224132296
3.574479,-26.0354,3.205811,-25.651386,4.205744,-25.553652,0.866412715,0.119590122,0.228710514
4.378606,-25.712831,3.301793,-25.722725,4.433383,-25.575765,0.615649049,0.220340693,0.23202709
4.060283,-25.185864,3.522121,-25.72509,4.664272,-25.598718,1.166350086,0.155729573,0.234047178
4.164005,-26.347593,3.647608,-25.632869,4.897037,-25.623183,1.438665791,0.176405247,0.235281678
4.479638,-24.943978,3.768227,-25.761593,5.130868,-25.64927,0.73883682,0.209489689,0.236457349
4.876091,-25.56744,3.922626,-25.620006,5.365763,-25.676407,0.484275918,0.19745572,0.238269947
5.236415,-25.890998,4.119894,-25.611398,5.602454,-25.703792,1.278694938,0.232459466,0.241140908
6.016221,-24.877606,4.346848,-25.66169,5.842048,-25.731062,1.110430946,0.354525964,0.244963411
5.894977,-25.981398,4.673388,-25.523631,6.085455,-25.758632,0.108580338,0.262361085,0.249117749
5.987263,-25.924188,4.923204,-25.603789,6.332906,-25.787401,0.508078819,0.230261418,0.252838339
6.366305,-26.262524,5.146178,-25.66126,6.583878,-25.818065,0.347561789,0.273635287,0.255601089
6.374633,-25.915062,5.397349,-25.769839,6.837406,-25.850553,0.069093629,0.211000746,0.257328744
6.309205,-25.892856,5.606294,-25.799221,7.092548,-25.884029,0.333762261,0.161401506,0.258324111
6.579293,-26.088942,5.766402,-25.819614,7.348697,-25.917481,0.538876827,0.186076205,0.259130204
7.118089,-26.079609,5.945163,-25.871275,7.605723,-25.950437,0.813099699,0.245909552,0.260355985
7.842218,-26.449431,6.18756,-25.91269,7.863997,-25.983297,0.290846909,0.343977718,0.262464298
7.876839,-26.160652,6.516612,-26.012917,8.124284,-26.017034,0.644107137,0.280905412,0.265509878
8.483749,-26.37637,6.795641,-26.045331,8.387418,-26.052474,0.815315855,0.344747882,0.269105336
8.099733,-25.657154,7.134205,-26.110335,8.653935,-26.089708,0.555659264,0.224720763,0.272608256
8.419958,-26.111261,7.346387,-26.03632,8.92383,-26.128074,0.64886562,0.231586158,0.275434441
8.945108,-26.49237,7.577287,-26.054134,9.196546,-26.166676,0.631330851,0.294878076,0.27729642
8.383071,-26.204806,7.860443,-26.136449,9.471178,-26.205024,0.838185267,0.134827609,0.278292011
9.182195,-26.4577,7.994118,-26.154041,9.746823,-26.243316,0.654593626,0.256994576,0.278890882
9.380812,-25.833966,8.244199,-26.21325,10.022993,-26.282178,0.733619776,0.249106651,0.279787996
9.908364,-26.343757,8.485516,-26.151442,10.299914,-26.322129,0.679249352,0.294943099,0.281567641
10.511578,-26.031487,8.77799,-26.189526,10.578471,-26.363194,1.05123435,0.349756265,0.284368491
11.00681,-26.958762,9.126922,-26.165528,10.859758,-26.404944,0.284382203,0.40381478,0.287838138
