sample,timestamp_s,lintasan,run_ke,gps_x,gps_y,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf_yaw_deg,ekf_yaw_rate,imu_yaw_deg,imu_yaw_rate_rads,gt_x,gt_y,gt_yaw_deg,error_ekf_m,error_gps_m,error_ekf_x,error_ekf_y,error_gps_x,error_gps_y
1,0.000,A,3,2.368637,6.117002,1.869130,5.969990,0.271644,0.055800,-2.4312,-0.010774,-2.4906,-0.009069,1.877199,6.864512,-2.4385,0.894558,0.894585,-0.008069,-0.894522,0.491438,-0.747510
2,0.136,A,3,2.957475,5.935792,2.084173,5.943051,0.299795,0.042717,-2.5267,-0.009572,-2.5366,-0.008599,2.151677,6.859857,-2.5320,0.919288,1.226053,-0.067504,-0.916806,0.805797,-0.924065
3,0.299,A,3,2.951401,6.647586,2.232910,5.944843,0.309654,0.039744,-2.5815,-0.009437,-2.5920,-0.009452,2.332475,6.856437,-2.5876,0.917015,0.653214,-0.099565,-0.911594,0.618926,-0.208851
4,0.466,A,3,3.234745,6.065801,2.363658,6.045923,0.310540,0.068285,-2.6275,-0.009061,-2.6448,-0.009134,2.518831,6.852749,-2.6406,0.821612,1.063870,-0.155173,-0.806825,0.715913,-0.786948
5,0.652,A,3,3.245357,6.137085,2.518106,6.053906,0.319196,0.064125,-2.6828,-0.009128,-2.6948,-0.009111,2.708770,6.848996,-2.6909,0.817632,0.891485,-0.190663,-0.795091,0.536588,-0.711912
6,0.916,A,3,3.847255,5.392079,2.654078,6.070602,0.320430,0.062924,-2.7315,-0.007677,-2.7383,-0.008041,2.900662,6.845362,-2.7383,0.813053,1.734379,-0.246583,-0.774760,0.946593,-1.453283
7,1.108,A,3,3.676330,5.945297,2.858932,5.976240,0.343215,0.029286,-2.7900,-0.008136,-2.7864,-0.008082,3.093885,6.841919,-2.7829,0.896997,1.069193,-0.234953,-0.865679,0.582444,-0.896622
8,1.266,A,3,4.621842,6.222738,3.011808,5.972870,0.345978,0.026632,-2.8304,-0.007027,-2.8280,-0.005646,3.289043,6.838604,-2.8247,0.909040,1.468211,-0.277235,-0.865733,1.332799,-0.615866
9,1.422,A,3,4.526515,5.683390,3.282094,6.010507,0.382208,0.037948,-2.8628,-0.005835,-2.8664,-0.006379,3.487655,6.835257,-2.8634,0.849981,1.551137,-0.205562,-0.824750,1.038860,-1.151866
10,1.871,A,3,4.369435,6.686345,3.502631,5.963972,0.399920,0.022538,-2.9051,-0.006126,-2.8986,-0.005281,3.691454,6.831712,-2.8986,0.888046,0.693390,-0.188823,-0.867739,0.677981,-0.145367
11,1.873,A,3,4.615846,5.421846,3.626809,6.067492,0.439669,0.058796,-2.8924,-0.005698,-2.9012,-0.005189,3.774714,6.830216,-2.9115,0.776932,1.640430,-0.147904,-0.762724,0.841132,-1.408370
12,1.906,A,3,4.854804,5.501780,3.847832,5.977992,0.401135,0.022059,-2.9626,-0.004697,-2.9575,-0.004375,4.117986,6.823829,-2.9556,0.887933,1.513511,-0.270155,-0.845837,0.736817,-1.322050
13,2.084,A,3,5.668120,6.074907,4.035556,5.907527,0.406626,0.001582,-2.9952,-0.004427,-2.9783,-0.004953,4.339541,6.819679,-2.9768,0.961472,1.523091,-0.303985,-0.912152,1.328579,-0.744772
14,2.267,A,3,4.960273,5.880182,4.316490,5.930405,0.436913,0.011873,-3.0096,-0.003056,-2.9944,-0.004293,4.564422,6.815602,-2.9933,0.919263,1.015731,-0.247932,-0.885197,0.395851,-0.935420
15,2.432,A,3,5.386074,5.942411,4.453898,5.921880,0.422473,0.009911,-3.0242,-0.002196,-3.0064,-0.002225,4.790986,6.811710,-3.0056,0.951539,1.053476,-0.337088,-0.889830,0.595089,-0.869299
16,2.592,A,3,5.137141,5.575694,4.632651,5.923717,0.421519,0.011765,-3.0304,-0.000446,-3.0150,0.001282,5.018456,6.808017,-3.0144,0.964796,1.238025,-0.385805,-0.884300,0.118685,-1.232322
17,2.748,A,3,6.071553,5.760821,4.747904,5.871105,0.403209,-0.003104,-3.0367,0.000148,-3.0202,-0.001541,5.247201,6.804452,-3.0199,1.058505,1.329933,-0.499297,-0.933347,0.824352,-1.043631
18,2.907,A,3,5.946589,5.653867,4.982712,5.852392,0.420997,-0.004688,-3.0353,0.000854,-3.0218,0.000088,5.478516,6.800901,-3.0218,1.070276,1.238862,-0.495805,-0.948509,0.468073,-1.147034
19,3.072,A,3,7.608004,6.041266,5.165942,5.820361,0.421973,-0.010616,-3.0325,0.000551,-3.0190,-0.000020,5.714034,6.797263,-3.0194,1.120152,2.039277,-0.548092,-0.976901,1.893969,-0.755997
20,3.230,A,3,7.033259,5.311136,5.568338,5.849935,0.484876,0.005065,-3.0189,0.001228,-3.0113,0.002330,5.954972,6.793493,-3.0121,1.019699,1.833053,-0.386634,-0.943557,1.078287,-1.482357
21,3.368,A,3,6.776772,5.463458,5.832015,5.768076,0.501841,-0.015171,-3.0142,0.002178,-2.9982,0.002850,6.201546,6.789617,-2.9994,1.086324,1.445539,-0.369531,-1.021541,0.575226,-1.326159
22,3.535,A,3,7.016744,5.387115,6.020106,5.718922,0.494558,-0.024627,-3.0022,0.002972,-2.9800,0.004251,6.452843,6.785716,-2.9816,1.151221,1.508002,-0.432737,-1.066794,0.563901,-1.398601
23,3.721,A,3,8.076443,5.709871,6.215209,5.664906,0.490297,-0.034226,-2.7702,0.087182,-2.6935,0.137837,6.704644,6.779652,-2.7548,1.217458,1.739615,-0.489435,-1.114746,1.371798,-1.069781
24,3.903,A,3,7.800478,5.975179,6.538068,5.666354,0.522608,-0.024941,-2.2271,0.047742,-2.2036,0.008161,6.944798,6.772879,-2.2081,1.178909,1.169835,-0.406730,-1.106525,0.855680,-0.797700
25,4.058,A,3,8.286257,5.628338,6.775328,5.707825,0.525740,-0.006630,-2.4475,-0.039942,-2.4403,0.000988,7.187947,6.769210,-2.4392,1.138768,1.583627,-0.412619,-1.061385,1.098310,-1.140872
26,4.216,A,3,8.256794,4.738114,7.054285,5.693256,0.540129,-0.006243,-1.8308,0.145627,-1.8483,0.141595,7.417722,6.760450,-1.9141,1.127382,2.189495,-0.363437,-1.067194,0.839072,-2.022337
27,4.363,A,3,8.781037,6.016392,7.280676,5.549326,0.542365,-0.044578,-1.5360,0.019613,-1.5335,-0.002947,7.647853,6.753114,-1.5322,1.258542,1.351616,-0.367178,-1.203789,1.133184,-0.736722
28,4.522,A,3,9.393426,6.398474,7.555117,5.613256,0.553698,-0.017397,-1.0156,0.135051,-0.9771,0.155487,7.877617,6.744456,-1.0482,1.176273,1.554793,-0.322499,-1.131200,1.515809,-0.345982
29,4.690,A,3,9.200533,5.461731,7.869093,5.727410,0.589864,0.021714,-0.4780,0.090814,-0.3985,0.093743,8.107506,6.733921,-0.4406,1.034363,1.677253,-0.238413,-1.006511,1.093027,-1.272191
30,4.857,A,3,9.220633,5.592707,8.118420,5.691033,0.589477,0.010637,0.1930,0.133807,0.3500,0.133708,8.336264,6.721805,0.2883,1.053540,1.434214,-0.217844,-1.030772,0.884369,-1.129098
31,5.029,A,3,9.408887,5.791820,8.348482,5.678424,0.569627,0.006670,1.1238,0.145706,1.1277,0.132425,8.562313,6.708822,1.0657,1.052352,1.248030,-0.213831,-1.030398,0.846574,-0.917002
32,5.201,A,3,9.885659,6.034821,8.561297,5.697653,0.560780,0.012133,1.9878,0.154727,1.9961,0.159641,8.782777,6.695003,1.9233,1.021646,1.285375,-0.221480,-0.997350,1.102882,-0.660182
33,5.354,A,3,9.574519,5.878558,8.922399,5.770044,0.600670,0.033093,2.9553,0.170636,2.9475,0.172236,8.996173,6.680198,2.8686,0.913139,0.988489,-0.073774,-0.910154,0.578346,-0.801640
34,5.510,A,3,10.102408,5.227107,8.979827,5.776592,0.542958,0.029908,3.8782,0.140413,3.8133,0.085965,9.204923,6.664640,3.7728,0.916133,1.694692,-0.225096,-0.888049,0.897484,-1.437533
35,5.681,A,3,10.045808,5.424969,9.199018,5.701577,0.539565,0.003188,4.4041,0.133891,4.3801,0.175265,9.415228,6.651611,4.3016,0.974326,1.379233,-0.216210,-0.950034,0.630580,-1.226643
36,5.846,A,3,10.851570,5.069369,9.376855,5.665433,0.524412,-0.009515,5.7706,0.255725,5.7617,0.225444,9.630195,6.634622,5.6564,1.001754,1.985390,-0.253341,-0.969190,1.221374,-1.565253
37,6.017,A,3,9.891459,6.352169,9.646856,5.581694,0.537607,-0.035865,6.5245,0.083353,6.4938,0.049810,9.850966,6.622944,6.4721,1.061067,0.273787,-0.204111,-1.041251,0.040493,-0.270776
38,6.193,A,3,10.548173,6.212857,9.734654,5.699232,0.497719,0.000697,7.3172,0.184894,7.3246,0.229908,10.076839,6.611167,7.2211,0.974020,0.617095,-0.342185,-0.911935,0.471334,-0.398310
39,6.362,A,3,11.226015,6.615286,9.902884,5.782620,0.486311,0.021316,8.3193,0.119752,8.2541,0.070588,10.306364,6.597680,8.2201,0.909461,0.919819,-0.403480,-0.815060,0.919651,0.017606
40,6.526,A,3,11.111918,5.177578,10.145352,5.916126,0.499274,0.052057,9.0280,0.165395,8.9870,0.184450,10.537997,6.588344,8.9021,0.778490,1.523038,-0.392645,-0.672218,0.573921,-1.410766
41,6.680,A,3,11.454014,5.715153,10.336048,5.819266,0.491015,0.011933,9.7742,0.111782,9.7348,0.114731,10.770086,6.579786,9.6838,0.875659,1.102428,-0.434038,-0.760520,0.683928,-0.864633
42,6.834,A,3,12.174704,5.912994,10.548743,5.813581,0.492044,0.002111,10.5232,0.139612,10.4959,0.123476,11.002845,6.572977,10.4380,0.884812,1.344928,-0.454102,-0.759396,1.171859,-0.659984
43,6.990,A,3,12.113398,5.091455,10.837132,5.838088,0.515828,-0.000749,11.1931,0.118013,11.1659,0.114931,11.237527,6.568108,11.1138,0.832613,1.716873,-0.400395,-0.730019,0.875871,-1.476653
