sample,timestamp_s,lintasan,run_ke,gps_x,gps_y,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf2_x,ekf2_y,ekf_yaw_deg,ekf_yaw_rate,imu_yaw_deg,imu_yaw_rate_rads,gt_x,gt_y,gt_yaw_deg,error_ekf_m,error_ekf2_m,error_gps_m,error_ekf_x,error_ekf_y,error_gps_x,error_gps_y
1,0.000,A,4,0.734462,6.855684,0.734462,6.855684,0.734462,6.855684,0.000000,0.000000,-5.8916,0.000000,-5.8949,-0.001422,0.828833,6.853110,-5.8939,0.094407,0.094407,0.094407,-0.094372,0.002574,-0.094372,0.002574
2,0.045,A,4,0.634382,6.669806,0.711696,6.794506,0.649637,6.698139,-0.002614,-0.010094,-5.8932,-0.001408,-5.8964,-0.001031,0.853909,6.852495,-5.8955,0.153582,0.256034,0.285601,-0.142213,-0.057989,-0.219528,-0.182689
3,0.199,A,4,0.638457,7.130158,0.711696,6.794506,0.649474,6.697836,-0.002364,-0.009124,-5.8997,-0.001502,-5.9092,-0.003225,0.987935,6.847395,-5.9067,0.281256,0.370032,0.449544,-0.276239,-0.052889,-0.349478,0.282763
4,0.346,A,4,0.430637,7.043885,0.680430,6.818098,0.643735,6.917156,-0.033189,0.173578,-5.9132,-0.003631,-5.9434,-0.008716,1.133833,6.836259,-5.9381,0.453766,0.496729,0.733207,-0.453402,-0.018162,-0.703196,0.207626
5,0.494,A,4,0.984666,6.661612,0.635502,6.935408,0.552198,6.982320,-0.152608,0.262986,-5.9248,-0.004798,-5.9938,-0.010227,1.286753,6.819710,-5.9875,0.661448,0.752338,0.340957,-0.651251,0.115699,-0.302087,-0.158098
6,0.653,A,4,1.100241,6.934076,0.652723,6.916563,0.722127,6.864497,0.136066,-0.083638,-5.9590,-0.008078,-6.0415,-0.009140,1.441682,6.802233,-6.0365,0.797200,0.722244,0.366011,-0.788959,0.114330,-0.341441,0.131843
7,0.809,A,4,1.085064,6.705132,0.772478,6.876238,0.896230,6.889376,0.372212,0.035803,-6.0318,-0.008898,-6.0713,-0.004020,1.594225,6.788836,-6.0689,0.826382,0.705199,0.515995,-0.821747,0.087402,-0.509161,-0.083704
8,0.981,A,4,1.714564,6.743352,0.891021,6.850145,1.012399,6.812870,0.455047,-0.127575,-6.0804,-0.002000,-6.0794,0.000966,1.743155,6.781491,-6.0793,0.854895,0.731430,0.047666,-0.852134,0.068653,-0.028592,-0.038139
9,1.169,A,4,2.715620,6.153080,1.087655,6.793403,1.343359,6.773875,0.883001,-0.114734,-6.0776,0.001665,-6.0762,0.002608,1.892185,6.777148,-6.0766,0.804694,0.548836,1.033202,-0.804530,0.016255,0.823435,-0.624068
10,1.318,A,4,1.621532,7.022465,1.509679,6.645238,1.959537,6.517402,1.839737,-0.556120,-6.0745,0.002062,-6.0798,-0.001446,2.046983,6.770583,-6.0784,0.551731,0.267857,0.494422,-0.537304,-0.125345,-0.425451,0.251882
