sample,timestamp_s,lintasan,run_ke,gps_x,gps_y,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf_yaw_deg,ekf_yaw_rate,imu_yaw_deg,imu_yaw_rate_rads,gt_x,gt_y,gt_yaw_deg,error_ekf_m,error_gps_m,error_ekf_x,error_ekf_y,error_gps_x,error_gps_y
1,0.000,B,3,-0.481982,-24.980635,-0.468770,-25.420945,0.065452,-0.030054,-13.5502,-0.094294,-13.5182,-0.092688,-0.134735,-25.201232,-13.4758,0.399816,0.411393,-0.334035,-0.219713,-0.347248,0.220597
2,0.155,B,3,0.296980,-23.909177,-0.466697,-25.344100,0.056311,-0.008605,-13.9636,-0.089642,-14.0276,-0.086376,-0.037674,-25.203381,-13.9881,0.451512,1.336772,-0.429024,-0.140719,0.334654,1.294204
3,0.340,B,3,0.108990,-25.214562,-0.325688,-25.091712,0.071199,0.057600,-14.4521,-0.084781,-14.5101,-0.083015,0.065750,-25.206580,-14.4721,0.407944,0.043971,-0.391438,0.114868,0.043240,-0.007982
4,0.493,B,3,-0.193080,-25.628889,-0.236010,-25.110198,0.082701,0.049501,-15.0395,-0.082579,-14.9798,-0.081757,0.173192,-25.212694,-14.9425,0.421843,0.554412,-0.409202,0.102496,-0.366272,-0.416195
5,0.673,B,3,0.032974,-25.688562,-0.221425,-25.203177,0.083020,0.023361,-15.3915,-0.080710,-15.4407,-0.077558,0.283708,-25.222277,-15.4043,0.505494,0.529424,-0.505133,0.019100,-0.250734,-0.466285
6,0.829,B,3,0.581590,-24.911443,-0.165410,-25.292141,0.088844,0.002534,-15.9243,-0.076075,-15.8844,-0.074957,0.398186,-25.234134,-15.8498,0.566573,0.371169,-0.563596,-0.058007,0.183404,0.322691
7,0.988,B,3,1.071210,-25.478529,-0.020428,-25.224819,0.108072,0.025721,-16.3374,-0.071155,-16.2972,-0.071445,0.518627,-25.246394,-16.2655,0.539487,0.599362,-0.539055,0.021574,0.552583,-0.232135
8,1.146,B,3,0.870184,-25.266370,0.186601,-25.271601,0.149185,0.024238,-16.6416,-0.065574,-16.6716,-0.059521,0.646933,-25.258163,-16.6430,0.460527,0.223402,-0.460331,-0.013438,0.223251,-0.008207
9,1.301,B,3,1.529874,-24.612531,0.325991,-25.273198,0.159380,0.028524,-17.0679,-0.059009,-17.0128,-0.058137,0.783874,-25.270428,-16.9864,0.457891,0.994658,-0.457882,-0.002770,0.746000,0.657897
10,1.447,B,3,0.180207,-25.539499,0.562642,-25.153596,0.187873,0.067257,-17.3783,-0.057120,-17.3349,-0.054901,0.928730,-25.285330,-17.3095,0.389068,0.790499,-0.366088,0.131734,-0.748523,-0.254170
11,1.615,B,3,1.159607,-25.834963,0.511583,-25.223567,0.158151,0.040281,-17.6978,-0.056108,-17.6493,-0.055108,1.079742,-25.304398,-17.6243,0.573879,0.536542,-0.568158,0.080831,0.079865,-0.530565
12,1.772,B,3,0.985828,-24.683232,0.642189,-25.335815,0.180744,0.018765,-17.9504,-0.054787,-17.9566,-0.052870,1.235030,-25.327260,-17.9324,0.592903,0.690560,-0.592841,-0.008555,-0.249202,0.644028
13,1.924,B,3,1.749552,-26.018802,0.724750,-25.220809,0.166506,0.047876,-18.3044,-0.051200,-18.2483,-0.050240,1.393461,-25.351835,-18.2258,0.681427,0.756072,-0.668711,0.131026,0.356091,-0.666966
14,2.078,B,3,1.154137,-25.130229,0.928418,-25.367408,0.202781,0.022599,-18.5793,-0.046360,-18.5154,-0.044471,1.554944,-25.375920,-18.4950,0.626584,0.470117,-0.626526,0.008513,-0.400807,0.245691
15,2.247,B,3,2.052839,-25.317927,0.988803,-25.328334,0.189703,0.033059,-18.8176,-0.041350,-18.7556,-0.040046,1.720070,-25.398844,-18.7372,0.734659,0.342466,-0.731268,0.070510,0.332769,0.080917
