sample,timestamp_s,lintasan,run_ke,gps_x,gps_y,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf2_x,ekf2_y,ekf_yaw_deg,ekf_yaw_rate,imu_yaw_deg,imu_yaw_rate_rads,gt_x,gt_y,gt_yaw_deg,error_ekf_m,error_ekf2_m,error_gps_m,error_ekf_x,error_ekf_y,error_gps_x,error_gps_y
1,0.000,B,4,0.208767,-24.217665,-0.241921,-26.066275,-0.138944,-25.735121,0.322961,0.212089,-8.2700,-0.086637,-9.6044,-0.086838,-0.295417,-25.251642,-8.7332,0.816387,0.508169,1.150352,0.053496,-0.814633,0.504184,1.033977
2,0.004,B,4,0.851131,-25.614662,0.053829,-25.955662,0.011613,-25.715256,0.736305,0.532366,-8.2700,-0.086638,-9.6044,-0.086838,-0.205406,-25.249536,-9.2313,0.752208,0.513802,1.117849,0.259234,-0.706127,1.056536,-0.365126
3,0.029,B,4,0.457024,-25.850615,0.272631,-25.861357,0.025951,-25.705351,0.747840,0.479584,-9.5525,-0.086890,-9.7007,-0.086690,-0.128072,-25.251332,-9.6237,0.729858,0.479434,0.837543,0.400703,-0.610025,0.585096,-0.599284
4,0.218,B,4,0.485641,-25.858672,0.272631,-25.861357,0.110180,-25.720650,0.679680,0.427695,-9.9878,-0.083256,-10.1648,-0.078502,-0.027624,-25.254318,-10.0929,0.677236,0.486267,0.792895,0.300254,-0.607038,0.513264,-0.604353
5,0.417,B,4,0.466845,-26.407286,0.387120,-25.835429,0.188594,-25.737443,0.661971,0.367084,-10.3176,-0.078524,-10.5923,-0.071987,0.074941,-25.254384,-10.5265,0.659598,0.496249,1.217691,0.312180,-0.581045,0.391904,-1.152902
6,0.586,B,4,1.058372,-26.092085,0.468249,-25.914293,0.251901,-25.850292,0.695953,-0.042421,-10.5267,-0.075779,-10.9837,-0.065378,0.178719,-25.250302,-10.9231,0.724369,0.604437,1.217534,0.289529,-0.663991,0.879653,-0.841783
7,0.767,B,4,-0.149021,-26.858413,0.602464,-26.022499,0.410852,-25.892355,0.868467,-0.055596,-10.8463,-0.070675,-11.3509,-0.064000,0.284554,-25.244564,-11.2931,0.840387,0.659988,1.671076,0.317910,-0.777935,-0.433575,-1.613849
8,0.943,B,4,0.974478,-25.859607,0.595297,-26.276896,0.325540,-26.067647,0.526058,-0.195107,-11.4986,-0.063957,-11.7103,-0.063152,0.418067,-25.241796,-11.7247,1.050163,0.831018,0.831435,0.177230,-1.035100,0.556411,-0.617811
9,1.110,B,4,0.902153,-24.990531,0.595297,-26.276896,0.456300,-26.034272,0.474396,-0.179348,-11.9664,-0.062332,-12.0699,-0.062613,0.513625,-25.244755,-12.0125,1.035368,0.791596,0.464311,0.081673,-1.032141,0.388528,0.254224
10,1.281,B,4,1.371781,-25.759029,0.719047,-26.013340,0.552319,-25.846212,0.352285,0.735196,-12.2476,-0.061888,-12.4224,-0.059003,0.642428,-25.253197,-12.3672,0.763995,0.599822,0.887593,0.076618,-0.760143,0.729353,-0.505832
