Bag      : rosbag_LintasanA_Run1_20260611_063433
GPS RMSE : 1.1422 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   5e-04    1e-03    5e-07       0.7505
   5e-04    1e-03    1e-07       0.7505
   5e-04    1e-03    1e-06       0.7507
   1e-03    5e-04    1e-07       0.7530
   1e-03    5e-04    5e-07       0.7530
   1e-03    5e-04    1e-06       0.7531
   1e-03    1e-03    1e-07       0.7539
   1e-03    1e-03    5e-07       0.7540
   1e-03    1e-03    1e-06       0.7542
   5e-04    5e-04    5e-07       0.7790
   5e-04    5e-04    1e-07       0.7791
   5e-04    5e-04    1e-06       0.7792
   5e-04    5e-03    1e-07       0.8181
   5e-04    5e-03    5e-07       0.8181
   5e-04    5e-03    1e-06       0.8183
   1e-03    5e-03    1e-07       0.8275
   1e-03    5e-03    5e-07       0.8275
   1e-03    5e-03    1e-06       0.8277
   5e-03    5e-04    1e-07       0.8357
   5e-03    5e-04    5e-07       0.8357
   5e-03    5e-04    1e-06       0.8357
   5e-03    1e-03    1e-07       0.8424
   5e-03    1e-03    5e-07       0.8425
   5e-03    1e-03    1e-06       0.8425
   5e-03    5e-03    1e-07       0.8827
   5e-03    5e-03    5e-07       0.8828
   5e-03    5e-03    1e-06       0.8829

Best:
  Q    = [0.0005, 0.0005, 0.001, 0.001, 5e-07, 5e-07]
  RMSE = 0.7505 m
