Bag      : rosbag_LintasanB_Run2_20260611_105503
GPS RMSE : 1.4605 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-03    1e-03    1e-06       1.2211
   1e-03    1e-03    5e-07       1.2211
   1e-03    1e-03    1e-07       1.2213
   1e-03    5e-04    1e-06       1.2274
   1e-03    5e-04    5e-07       1.2274
   1e-03    5e-04    1e-07       1.2275
   5e-04    5e-03    1e-06       1.2325
   5e-04    5e-03    5e-07       1.2326
   5e-04    5e-03    1e-07       1.2329
   5e-04    1e-03    1e-06       1.2348
   5e-04    1e-03    5e-07       1.2348
   5e-04    1e-03    1e-07       1.2351
   1e-03    5e-03    1e-06       1.2386
   1e-03    5e-03    5e-07       1.2387
   1e-03    5e-03    1e-07       1.2389
   5e-03    5e-04    1e-06       1.2578
   5e-03    5e-04    5e-07       1.2578
   5e-03    5e-04    1e-07       1.2578
   5e-03    1e-03    1e-06       1.2602
   5e-03    1e-03    5e-07       1.2602
   5e-03    1e-03    1e-07       1.2602
   5e-04    5e-04    1e-06       1.2671
   5e-04    5e-04    5e-07       1.2671
   5e-04    5e-04    1e-07       1.2674
   5e-03    5e-03    1e-06       1.2768
   5e-03    5e-03    5e-07       1.2768
   5e-03    5e-03    1e-07       1.2769

Best:
  Q    = [0.001, 0.001, 0.001, 0.001, 1e-06, 1e-06]
  RMSE = 1.2211 m
