Bag      : rosbag_LintasanA_Run1_20260515_145025
GPS RMSE : 1.4856 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-03    1e-04    5e-06       1.1911
   1e-03    1e-04    1e-05       1.1912
   5e-04    1e-04    5e-06       1.1917
   5e-04    1e-04    1e-05       1.1918
   1e-03    1e-04    1e-06       1.1921
   5e-04    1e-04    1e-06       1.1934
   1e-03    5e-05    5e-06       1.1943
   1e-03    5e-05    1e-05       1.1945
   1e-03    5e-05    1e-06       1.1950
   5e-04    5e-05    5e-06       1.2085
   5e-04    5e-05    1e-05       1.2087
   5e-04    5e-05    1e-06       1.2100
   5e-04    5e-04    1e-05       1.2128
   5e-04    5e-04    5e-06       1.2131
   5e-04    5e-04    1e-06       1.2148
   1e-03    5e-04    1e-05       1.2195
   1e-03    5e-04    5e-06       1.2197
   1e-03    5e-04    1e-06       1.2211
   5e-03    5e-05    5e-06       1.2228
   5e-03    5e-05    1e-06       1.2228
   5e-03    5e-05    1e-05       1.2229
   5e-03    1e-04    5e-06       1.2298
   5e-03    1e-04    1e-05       1.2298
   5e-03    1e-04    1e-06       1.2299
   5e-03    5e-04    1e-05       1.2572
   5e-03    5e-04    5e-06       1.2572
   5e-03    5e-04    1e-06       1.2577

Best:
  Q    = [0.001, 0.001, 0.0001, 0.0001, 5e-06, 5e-06]
  RMSE = 1.1911 m
