Bag      : rosbag_LintasanB_Run2_20260515_205316
GPS RMSE : 1.4385 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-03    1e-04    5e-06       1.1985
   1e-03    1e-04    1e-05       1.1986
   1e-03    1e-04    1e-06       1.1994
   5e-04    1e-04    5e-06       1.2040
   5e-04    1e-04    1e-05       1.2041
   5e-04    1e-04    1e-06       1.2054
   1e-03    5e-05    5e-06       1.2056
   1e-03    5e-05    1e-05       1.2058
   1e-03    5e-05    1e-06       1.2061
   5e-04    5e-04    1e-05       1.2090
   5e-04    5e-04    5e-06       1.2093
   5e-04    5e-04    1e-06       1.2110
   1e-03    5e-04    1e-05       1.2132
   1e-03    5e-04    5e-06       1.2135
   1e-03    5e-04    1e-06       1.2148
   5e-03    5e-05    1e-06       1.2152
   5e-03    5e-05    5e-06       1.2152
   5e-03    5e-05    1e-05       1.2153
   5e-03    1e-04    5e-06       1.2203
   5e-03    1e-04    1e-05       1.2203
   5e-03    1e-04    1e-06       1.2203
   5e-04    5e-05    5e-06       1.2250
   5e-04    5e-05    1e-05       1.2252
   5e-04    5e-05    1e-06       1.2260
   5e-03    5e-04    1e-05       1.2410
   5e-03    5e-04    5e-06       1.2411
   5e-03    5e-04    1e-06       1.2416

Best:
  Q    = [0.001, 0.001, 0.0001, 0.0001, 5e-06, 5e-06]
  RMSE = 1.1985 m
